countryCode;adminCode1;cityName;lat;lng
AU;2;Parramatta;-33.8178;151.00348
AU;7;Ferntree Gully;-37.88461;145.29539
AU;2;City of Parramatta;-33.81667;151
AU;5;Adelaide Hills;-34.91119;138.70735
AU;8;Canning Vale;-32.05799;115.91814
AU;2;Glenmore Park;-33.79068;150.6693
AU;7;Glen Iris;-37.85995;145.05489
AU;7;Balwyn North;-37.79086;145.09386
AU;7;Malvern East;-37.87397;145.04253
AU;7;Brighton East;-37.90232;145.01734
AU;4;Booval;-27.61328;152.78944
AU;7;St Albans;-37.74496;144.80049
AU;7;Endeavour Hills;-37.97695;145.25866
AU;2;Kellyville;-33.71028;150.95095
AU;7;Taylors Lakes;-37.69863;144.78631
AU;2;Cherrybrook;-33.72197;151.04607
AU;7;Roxburgh Park;-37.62581;144.92555
AU;2;Prestons;-33.94185;150.8717
AU;7;Wyndham Vale;-37.89138;144.62368
AU;8;Ballajura;-31.84062;115.89549
AU;8;Willetton;-32.05251;115.88782
AU;2;Cabramatta;-33.89743;150.93446
AU;2;Campsie;-33.9125;151.10279
AU;2;Greystanes;-33.82346;150.94607
AU;2;Yagoona;-33.9049;151.01996
AU;7;Highton;-38.17058;144.3114
AU;5;Paralowie;-34.75705;138.60819
AU;8;Dianella;-31.88822;115.87186
AU;8;Duncraig;-31.83291;115.7759
AU;8;Thornlie;-32.06003;115.955
AU;2;Punchbowl;-33.92893;151.05111
AU;5;Parafield Gardens;-34.78254;138.61077
AU;7;Hillside;-37.69047;144.74172
AU;2;St Clair;-33.79728;150.7847
AU;4;Kirwan;-19.30323;146.72531
AU;7;Bundoora;-37.69825;145.05967
AU;4;Forest Lake;-27.62563;152.96883
AU;4;Sunnybank Hills;-27.61025;153.05388
AU;7;Narre Warren South;-38.04369;145.2923
AU;7;Dandenong North;-37.96649;145.2081
AU;7;Frankston South;-38.16604;145.13643
AU;7;Sunshine West;-37.79117;144.81637
AU;7;Altona Meadows;-37.88413;144.78367
AU;2;Hurstville;-33.9677;151.10149
AU;2;West Pennant;-33.7457;151.04764
AW;0;Oranjestad;12.52398;-70.02703
AX;211;Mariehamn;60.09726;19.93481
AZ;61;Xankandi;39.8177;46.7528
